Index,House_No,Location,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
63,House_63,Suburb,82.87375092,80.64036172,22.96090092,0,0.706256271,7.649300594,86.26368913,2.748937185,1,657.5706181,19.33260726,24.71373769,32.72333774,99859.33763
64,House_64,Suburb,35.67533267,45.92398776,7.590790228,1,0.767109528,5.356410685,81.49739966,9.765420167,9,318.9103236,17.18133913,187.9007781,8.704211653,150064.7196
65,House_65,Suburb,28.09345097,5.195657755,25.9668715,1,0.378608771,6.026284226,4.306897651,4.25480795,11,414.4975553,12.11521012,106.5449851,2.389674841,58220.44879
66,House_66,Countryside,54.26960832,78.62781994,3.085277765,0,0.660574317,5.785990469,10.01735707,6.412385903,19,261.0563107,17.16998583,379.1878262,39.01274848,89212.57925
67,House_67,City Center,14.0924225,20.13637821,3.778655891,1,0.320578741,4.520388645,5.863562495,6.489833435,2,428.4177152,12.9947215,143.9594039,1.558968252,87679.70775
68,House_68,Suburb,80.21969808,25.86208349,29.37454665,0,0.59853965,6.030168277,34.13960965,6.04426134,23,266.6712318,18.59062196,40.04947949,38.46647468,57802.12391
69,House_69,Suburb,7.455064368,16.47063534,20.21516695,0,0.392905609,3.182979287,51.41961008,9.232261692,11,461.6742472,17.6552353,16.59659631,33.32376233,24036.15608
70,House_70,Countryside,98.68869366,33.02150649,25.40661673,0,0.409753756,3.790862241,53.70242507,7.069969642,3,567.3110202,12.10427227,106.162355,36.57091568,39693.28926
71,House_71,Countryside,77.22447693,75.67515057,9.729881321,1,0.51902854,8.319537577,27.49900922,4.633597037,17,476.6713874,14.0469283,71.55149555,16.10024279,94530.92117
72,House_72,City Center,19.87156815,51.93858595,20.29451249,1,0.5594623,7.510078602,91.24809177,8.761423461,10,322.6097892,19.76225053,259.9198508,8.690877955,94622.84563
73,House_73,City Center,0.552211712,20.48812742,17.82725482,0,0.673903455,5.537210454,37.4580162,2.629566092,3,376.8979927,14.75772614,338.7866167,24.65208372,54349.43175
74,House_74,Suburb,81.54614285,87.78300782,18.0945036,1,0.344657051,6.102902174,5.509465441,5.898130818,22,519.2863689,16.99283401,125.0234814,29.90879566,83435.77495
75,House_75,Countryside,70.68573438,87.9581855,20.47597379,1,0.602215057,5.219993316,30.72248404,9.554953347,3,494.8777089,15.11998614,231.116582,6.103581587,15414.66977
76,House_76,City Center,72.9007168,87.0578425,17.26077519,1,0.409575078,7.444679203,53.57983283,6.628578669,21,268.3873941,21.21526856,292.1221108,32.10723907,68142.00027
77,House_77,City Center,77.12703467,23.87962114,12.87187108,0,0.644385105,7.705123075,41.41396044,8.352716054,7,622.4747368,17.36577018,159.3950757,9.13513948,64104.81167
78,House_78,City Center,7.404465173,45.12393442,8.277680831,1,0.682442767,7.579711141,28.11040939,6.88204653,2,437.5944561,18.96173515,26.53024454,20.17541442,97995.31728
79,House_79,Countryside,35.84657285,98.49896561,23.05743993,0,0.634025554,7.335670349,14.00100173,8.554337772,1,281.1846123,12.83476105,91.67396437,34.40281555,76274.38585
80,House_80,Countryside,11.58690595,77.20124763,6.7881729,1,0.742977306,4.227026032,82.09728551,9.500390919,7,261.4132713,12.40335988,353.2263232,8.543555931,124751.9597
81,House_81,Countryside,86.31034259,2.716742123,20.77062918,1,0.501365547,5.027819875,99.61837897,3.456295548,20,682.7758873,14.59228195,329.7921065,10.43350127,105533.3849
82,House_82,Countryside,62.32981268,6.520459126,6.999984679,0,0.759063955,5.81907261,33.62467122,2.526949731,11,340.7675556,15.09134292,34.61301153,3.448075103,106866.4802
83,House_83,Countryside,33.08980249,46.39313768,18.7599051,1,0.559660249,4.984757949,38.78048337,5.355916753,23,654.296794,18.87680541,89.57948935,6.71795036,95148.22585
84,House_84,Suburb,6.355835029,90.92202059,22.41234801,0,0.590510699,7.529641201,62.18571494,7.316761841,6,405.2926494,17.69130503,307.6661128,6.714506971,107767.6171
85,House_85,Suburb,31.09823217,53.8701798,6.561416667,1,0.688861276,4.976121145,72.125706,3.044721279,23,392.9607152,15.74579607,194.3592928,8.933672584,74140.5554
86,House_86,Countryside,32.5183322,49.7812508,1.798299026,0,0.31101503,3.829392521,39.81092395,1.036913054,4,550.4644848,18.54117484,303.9868127,12.16181549,-17764.76433
87,House_87,Suburb,72.96061783,10.54737,3.92921229,1,0.692396533,5.394242712,90.58802218,4.086416043,19,204.9416439,13.63565747,84.43698866,32.78435121,93253.4173
88,House_88,Countryside,63.75574714,65.67801047,18.17990902,1,0.671151089,8.879486597,56.44039493,9.719734019,21,369.0447608,12.63489695,381.0792557,36.7147907,102655.2328
89,House_89,Suburb,88.72127426,82.21031606,25.48339219,1,0.48590827,4.355288478,45.58861756,7.254707145,19,351.3228561,20.54505092,313.4429795,16.84494376,118982.3958
90,House_90,Suburb,47.22149252,38.04200075,1.349904637,0,0.351476571,6.672951954,65.02060256,4.611928995,14,634.0490471,17.63946128,78.98092993,6.000149128,73556.92642
91,House_91,City Center,11.95942459,77.56118509,22.02453777,0,0.35456127,5.597838299,95.32758098,2.733184876,3,464.5617695,18.49095274,223.3796803,9.728587079,156876.396
92,House_92,Countryside,71.32447872,96.44766539,10.23955938,0,0.853934248,3.426147406,79.66067715,4.204807064,4,382.2850786,15.07242251,45.23885124,29.7120331,30693.46217
93,House_93,Suburb,76.07850486,20.37664591,14.3558511,1,0.713567593,5.927259636,4.961299923,2.5285549,8,333.0396551,15.71954958,144.5739261,27.41959525,37979.28914
94,House_94,Suburb,56.12771976,52.33296312,27.8657865,0,0.376261568,7.212985972,33.89868116,1.956752392,18,495.2549044,12.82367447,263.8485474,38.72108476,149455.4621
95,House_95,City Center,77.096718,28.71379581,9.959145142,0,0.514033902,6.079319855,47.58392381,9.160681353,4,275.8365703,20.56988188,132.0510752,1.565058543,112003.4404
96,House_96,Suburb,49.37955964,79.2854419,13.96010802,0,0.655489796,8.232636382,32.13723965,9.978853045,11,323.1023843,17.9243945,262.7033583,30.27959165,175721.2149
97,House_97,City Center,52.27328294,57.75933659,0.410472443,0,0.801343023,4.7336221,70.31856852,2.477029956,16,346.8060825,12.83627663,97.91178586,20.72595042,74680.03412
98,House_98,Suburb,42.75410184,63.45824176,2.4479616,0,0.326196557,3.517495028,82.80064584,1.49070303,3,503.9544738,20.045296,288.4827122,36.20502614,80790.23896
99,House_99,City Center,2.541912674,79.79141596,7.757747734,0,0.441979879,8.61939367,73.40316442,3.967579964,7,386.6274795,16.4411537,143.8358296,23.47050029,163650.2867
100,House_100,City Center,10.7891427,39.59704727,0.835567225,0,0.833849394,5.269178097,98.9439954,5.154932627,2,452.8916501,19.6510135,316.1925084,18.42004125,68045.37862
101,House_101,Countryside,3.142918569,91.50900684,18.94125978,0,0.30549933,6.458433309,27.98221714,2.843391224,1,525.2191319,12.12619862,54.67596589,26.96817377,104290.9305
102,House_102,Countryside,63.64104113,53.30288672,12.7919507,0,0.420839462,7.752018757,87.62396001,3.712824206,1,678.1358004,12.28739697,144.7911797,33.50741425,88995.44439
103,House_103,Suburb,31.43559811,15.79548228,16.44435608,0,0.875414506,4.945881983,76.89564385,2.807836621,6,582.4186986,13.70782959,185.5729815,12.01744346,122770.4108
104,House_104,Countryside,50.85706912,69.58991182,5.239415577,1,0.668041108,7.296987229,36.855697,7.968345116,19,402.6283903,14.10916556,169.5382098,5.193554708,54337.12664
105,House_105,Countryside,90.75664739,79.32613504,8.877960883,1,0.45700282,3.812513099,73.67832982,7.413201489,7,574.1376872,19.6395553,173.2378018,17.88770661,82142.73624
106,House_106,Countryside,24.92922291,31.67616771,19.91473425,0,0.340194657,4.747762483,11.30351969,6.714563642,24,674.8470905,19.06694164,177.9213333,9.36627504,129148.7991
107,House_107,Suburb,41.0382923,85.7179257,28.95908171,1,0.316914804,3.868263817,79.14401475,4.484960714,5,449.6902728,18.16088119,395.5214101,17.75210584,28579.1219
108,House_108,Suburb,75.55511385,90.61432548,1.512503208,1,0.446847048,7.86738335,53.70072966,9.181368472,21,405.2484666,20.84858896,77.26284131,39.65087874,29839.58591
109,House_109,Countryside,22.87981655,27.69044874,26.71152963,0,0.828891492,4.335895411,29.9367271,9.725792874,18,239.0093495,14.47148784,307.4655322,23.39076166,-17521.51364
110,House_110,Countryside,7.697990983,98.35214727,17.30643604,0,0.549548193,7.304421332,65.92195288,2.562753814,24,646.1851853,21.04404904,220.7155124,28.05040869,197377.597
111,House_111,Suburb,28.97514529,14.0711528,16.917587,0,0.732200021,8.659790383,64.52037987,3.007113773,13,323.2171404,21.09471069,165.4513672,27.43920848,66779.62405
112,House_112,Countryside,16.12212873,20.20156684,15.00835606,1,0.850971021,6.166633254,21.73913605,5.730679252,1,231.9789484,16.3425976,253.4114869,33.00733262,146332.2216
113,House_113,City Center,92.96976523,18.42248392,2.081822577,0,0.544824277,6.240175154,4.009344066,1.821255124,10,468.6017433,12.943862,341.4125772,37.82101536,45587.67488
114,House_114,Suburb,80.81203796,89.398971,2.696305552,1,0.414766423,5.766201409,43.9286361,4.928035589,9,622.949823,19.26559908,186.6553456,26.69390583,119716.087
115,House_115,Suburb,63.34037565,65.42925523,18.02736017,0,0.610270759,4.95534086,57.38167507,6.236121383,17,403.3175278,15.36928673,345.9205476,19.56769115,96364.65503
116,House_116,City Center,87.14605902,15.21042832,10.22875714,1,0.844850212,5.853930186,87.78392256,5.69866214,1,591.5337351,19.94929517,37.51933398,13.39540691,182822.1063
117,House_117,Countryside,80.36720769,44.03234184,27.518042,1,0.782624648,6.616845194,92.89346277,3.978177248,1,618.1980036,13.63690284,261.2336888,15.0506977,157335.2146
118,House_118,City Center,18.65700589,61.52980251,12.19771612,0,0.339497906,8.915949433,53.3517166,5.882012255,7,427.2017794,17.39515114,133.2720245,14.04474372,132038.3589
119,House_119,Countryside,89.25589985,8.346408499,4.298443761,0,0.71554368,8.626587356,75.62654489,9.629208588,4,495.477533,17.0807373,154.6861309,13.65415416,120252.2763
120,House_120,Countryside,53.93422419,88.24163684,21.44156501,1,0.643138513,8.17291775,44.49102396,2.854156639,23,466.9561493,13.00314491,228.4079004,28.09037517,126807.9515
121,House_121,Suburb,80.74401552,80.36035354,8.800602643,1,0.844477906,8.334783214,74.8621335,6.893482226,21,669.5979308,15.63332826,191.9667193,23.92065217,227343.6094
122,House_122,Suburb,89.60912999,50.52067736,15.76410922,0,0.37348885,5.8070951,21.27535097,1.390570247,12,562.7528425,12.84755313,152.7117754,8.877806752,84658.02575
123,House_123,Countryside,31.8003475,96.71266153,20.93498357,0,0.620421668,6.944665963,37.73540875,1.59774764,16,662.6714054,16.6474031,123.3293687,38.81541475,9637.200348
124,House_124,City Center,11.00519245,41.77609793,27.00792334,1,0.827677616,8.370400338,63.78857188,5.966454018,14,310.004989,20.42904559,247.3261209,17.6812951,126057.3063
125,House_125,Suburb,22.79351625,98.4110319,23.76573584,0,0.546014272,5.35770459,2.797638595,1.944452623,23,355.1184259,14.70204763,202.2318607,23.07736964,43907.6825
126,House_126,Countryside,42.71077886,66.79199988,20.29083204,1,0.589196951,8.77057487,72.52366972,1.201121096,10,235.4567366,19.64861987,129.3236502,28.4014377,111326.0541
127,House_127,Suburb,81.80147659,63.46712733,20.38899547,0,0.342276407,5.494716372,83.71801463,2.543616979,14,449.9539783,13.83427416,81.98440755,24.93341769,121211.0939
128,House_128,Suburb,86.07305833,16.59548953,28.37773932,0,0.466886184,6.606495992,40.51502445,6.083642539,7,636.9618397,18.73734927,309.7872784,13.13101899,110923.3789
129,House_129,Suburb,0.695213053,88.19277583,8.874722925,0,0.49470399,7.25882828,45.3462993,7.330068591,4,363.4233486,21.155374,319.8859698,32.11055637,60678.48707
130,House_130,City Center,51.07473026,42.74896879,0.033362826,1,0.867073469,8.703552078,85.27693901,2.822307077,2,264.1410535,15.23928082,85.51525079,5.295991944,111379.8523
131,House_131,City Center,41.74110031,16.22334058,8.158636782,0,0.469600416,4.467697644,77.7898089,7.014334935,24,234.2231275,21.00411638,104.6596053,23.19083755,9826.331817
132,House_132,Countryside,22.21078105,1.260751998,6.536741389,1,0.576521241,7.476785869,29.52679941,2.64228698,18,423.7501363,17.05420927,95.657209,11.6593717,172447.9967
133,House_133,City Center,11.98653673,55.97556836,19.85503755,0,0.702782654,6.124893517,33.07363455,6.52111684,16,282.0108723,15.16805133,353.8278982,25.01473234,124867.5603
134,House_134,Countryside,33.76151714,52.73996221,19.01134799,1,0.397310023,4.611342844,68.20894501,4.707637119,9,373.0520144,20.96508235,309.6521524,9.501745762,25442.23443
135,House_135,Countryside,94.29097039,71.93536224,17.80384148,1,0.591865432,7.659641039,56.75661115,6.884195584,5,609.989904,12.32037267,29.8294093,31.11578655,202673.4647
136,House_136,Suburb,32.3202932,89.0258053,0.487303296,0,0.743123424,6.313333681,17.06072754,9.955474772,9,392.0236914,12.28018851,333.0663799,9.873916919,85947.40082
137,House_137,Suburb,51.87906217,7.940658464,21.86334163,1,0.820113128,6.965842924,31.68306101,9.440352687,8,504.9354591,17.99829604,14.74072829,35.72529326,88333.76539
138,House_138,City Center,70.30189589,73.14964903,9.705912375,1,0.675755565,4.937406411,90.09834441,1.038535821,24,451.0800279,19.96750717,101.2799164,34.60064128,33836.86009
139,House_139,Countryside,36.36296024,18.74119441,19.95167967,1,0.701432109,5.887643711,69.12926924,8.968948879,20,559.2666465,19.51546307,367.5965536,15.13334463,107475.113
140,House_140,Countryside,97.17820827,85.81770532,16.69735286,1,0.375770084,6.704125506,98.61145745,1.598417157,16,278.0824795,12.79469503,345.7325179,16.04699127,86261.35579
141,House_141,Suburb,96.24472949,81.90635139,10.28192776,0,0.867465898,5.429464886,76.93424047,9.577419275,20,660.2205182,21.50251194,312.5738059,28.35863485,-13193.60998
142,House_142,Suburb,25.17822958,54.0793755,4.037288013,0,0.379544446,4.190235239,94.25546878,3.536431112,18,521.8163988,19.03063538,183.0188916,4.524567981,141017.6056
143,House_143,Suburb,49.72485059,71.02427986,2.83256693,0,0.764803762,8.769842954,22.40266881,4.438313474,4,335.4768658,21.49112054,128.5656404,4.155857075,82190.68923
144,House_144,City Center,30.08783098,31.43501132,24.94554999,1,0.458889793,6.06880524,77.37700261,1.824743847,16,261.6268541,15.29097759,352.618335,6.316643677,144209.366
145,House_145,Countryside,28.48404944,47.11678989,27.55192626,1,0.860155886,7.403522222,3.001534495,2.010454825,4,274.8627821,18.93939128,262.8296361,22.93653808,83808.8061
146,House_146,Countryside,3.688694735,82.16368977,19.4936414,0,0.731975724,5.466283161,67.40524215,7.540665087,6,591.3314634,20.59938747,118.203542,6.811089888,100280.2437
147,House_147,Countryside,60.9564334,45.92651972,3.103023446,0,0.752288228,5.130790584,47.45894553,9.498990122,3,494.0550267,15.80464223,185.2783512,11.82707399,101395.1908
148,House_148,Suburb,50.26790232,35.77982653,12.06081651,1,0.431435504,5.442985791,35.32924712,6.496736455,18,390.3791454,21.64859919,352.6000889,26.22954489,75010.13924
149,House_149,City Center,5.147875125,49.42124473,21.868176,0,0.565823986,5.455179863,86.37803088,7.44265014,15,366.4504231,14.64992791,361.3821744,1.609327336,139104.0074
150,House_150,City Center,27.86464642,82.82492524,23.39462652,0,0.670687917,6.265080696,85.57250157,7.857727701,8,627.8790022,15.15613626,263.7208376,8.02922771,63638.68988
151,House_151,Suburb,90.8265886,33.52080474,3.546558669,1,0.761984171,6.26081922,3.207868785,3.365328471,18,637.3812619,21.20328577,293.0223443,37.26729585,109019.8225
152,House_152,City Center,23.95618907,17.37615931,0.000921565,0,0.362375626,5.982922895,61.34100712,1.407066678,24,490.6310192,21.69659747,15.71913329,26.87952731,26631.82056
153,House_153,City Center,14.48948721,71.20140203,21.36411138,1,0.87741919,3.80871471,37.41539021,1.016854695,23,462.2720328,14.85195748,241.8402031,12.91649345,26631.04804
154,House_154,Countryside,48.94527603,82.59782127,10.69788528,0,0.834132402,5.976452871,42.15043915,4.155843547,3,608.224021,13.3639004,275.5970273,2.766833538,126159.3954
155,House_155,Suburb,98.56504541,10.06374785,7.634439949,1,0.462209154,4.014623403,83.37203318,3.173178054,6,574.6675899,19.5905541,8.150858832,23.85590353,99054.6475
156,House_156,Suburb,24.20552715,23.98741128,0.386924094,1,0.793656146,3.756814718,31.67413738,1.560859525,22,400.1625917,21.29665266,337.5435952,9.691786086,87226.38489
157,House_157,Suburb,67.21355474,14.19719898,16.2089822,1,0.610994354,8.595874304,94.36183225,2.615754632,21,241.3693424,18.00713644,371.3140047,38.44684211,158679.1213
158,House_158,Suburb,76.16196153,34.79414116,25.53452206,1,0.577083889,6.629700079,18.78374881,2.120490084,24,584.2500537,18.34518954,95.17458097,27.79147724,31593.81467
159,House_159,Countryside,23.7637544,45.03509789,28.72894939,1,0.488660463,6.956940349,66.60951991,9.233905426,15,284.3505145,19.62943334,338.3183731,38.99083157,17560.6878
160,House_160,City Center,72.82163486,74.8826337,16.97234852,0,0.648581152,5.410762022,67.53840163,2.262404921,12,208.1884532,13.53084819,266.2050331,34.107057,97348.71499
